Country Name,1965,1975,1985,1995,2005,2015,,,,,,,,,,,,,,,,,11/5/17
Aruba,0.573468248,0.212897716,0.301918203,4.616674713,1.30203884,0.524658159,,,,,,,,,,,,,,,,,
Afghanistan,2.105368751,2.157653279,-2.216315406,5.572581069,3.870470159,2.943234185,,,,,,,,,,,,,,,,,
Angola,1.788799403,2.746672805,3.176703342,3.043198279,3.575899698,3.42802067,,,,,,,,,,,,,,,,,
Albania,2.754021238,2.30115381,2.055994609,-0.617703658,-0.511790116,-0.291205787,,,,,,,,,,,,,,,,,
Andorra,5.998799772,3.935750805,4.339443344,1.854202829,3.382416554,-1.537836294,,,,,,,,,,,,,,,,,
Arab World,2.842976352,3.033383505,3.037962813,3.068972643,2.297403411,2.118210404,,,,,,,,,,,,,,,,,
United Arab Emirates,8.196603003,16.2118734,5.358225438,5.030211588,11.35643863,0.915608331,,,,,,,,,,,,,,,,,
Argentina,1.489543666,1.633982982,1.551619351,1.255747946,1.070434278,1.00985496,,,,,,,,,,,,,,,,,
Armenia,3.044919344,2.105132868,1.520523803,-2.040310112,-0.647057335,0.368528212,,,,,,,,,,,,,,,,,
American Samoa,3.557430815,1.494474129,4.038037717,2.035017825,-0.246659246,0.180222443,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2.089764757,1.02606752,-1.342302033,2.614743907,1.122202076,1.05434633,,,,,,,,,,,,,,,,,
Australia,1.959716895,1.231185888,1.367346075,1.208019812,1.319789554,1.391107205,,,,,,,,,,,,,,,,,
Austria,0.649729876,-0.265319411,0.046950968,0.153106261,0.681267248,1.066622808,,,,,,,,,,,,,,,,,
Azerbaijan,3.004237626,1.689513079,1.646583945,1.151694447,1.022265592,1.191209858,,,,,,,,,,,,,,,,,
Burundi,2.20143286,1.451559825,2.82061083,1.528736221,3.298153071,3.061102894,,,,,,,,,,,,,,,,,
Belgium,0.908137002,0.288978161,0.029786423,0.209436838,0.550055708,0.579446242,,,,,,,,,,,,,,,,,
Benin,1.778051683,2.410099518,2.88525963,3.293613638,2.952383516,2.772977926,,,,,,,,,,,,,,,,,
Burkina Faso,1.479134908,1.878003326,2.577809423,2.74591353,2.959187776,2.939690431,,,,,,,,,,,,,,,,,
Bangladesh,3.101174938,2.013666095,2.683217706,2.149696017,1.49164985,1.120144259,,,,,,,,,,,,,,,,,
Bulgaria,0.731911035,0.482739308,-0.001473114,-0.4453985,-0.752977445,-0.638069468,,,,,,,,,,,,,,,,,
Bahrain,2.45423019,5.645973091,2.952587715,2.535151448,6.904364255,2.618665193,,,,,,,,,,,,,,,,,
"Bahamas, The",4.644453739,2.023166438,2.010818728,1.530481546,2.063055027,1.214308159,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,1.615087066,1.081838143,0.946697839,-2.69772208,0.006426177,-0.845996499,,,,,,,,,,,,,,,,,
Belarus,1.001232581,0.52895066,0.653761443,-0.323196991,-0.68300556,0.159300802,,,,,,,,,,,,,,,,,
Belize,2.916243907,1.476401422,2.812635448,2.588750099,2.570194001,2.136281595,,,,,,,,,,,,,,,,,
Bermuda,2.45398773,-0.74906367,0.841855272,0.718138908,0.649513649,0.147377147,,,,,,,,,,,,,,,,,
Bolivia,1.978195729,2.161004446,2.050222719,1.973334995,1.742891549,1.527225047,,,,,,,,,,,,,,,,,
Brazil,2.829378085,2.391232481,2.142237395,1.609646578,1.172551513,0.852799206,,,,,,,,,,,,,,,,,
Barbados,0.351974419,0.609493237,0.286040378,0.356917732,0.335587959,0.293163377,,,,,,,,,,,,,,,,,
Brunei Darussalam,4.571556925,4.143531046,2.839335244,2.613674551,1.555198377,1.408049349,,,,,,,,,,,,,,,,,
Bhutan,2.845611094,3.204977294,2.923007367,-0.315305968,2.522569589,1.398892513,,,,,,,,,,,,,,,,,
Botswana,2.783057897,3.66825247,3.2323702,2.351838858,1.439411021,1.855975354,,,,,,,,,,,,,,,,,
Central African Republic,1.979454889,2.096351326,2.632018835,2.570878235,1.781166016,0.677771774,,,,,,,,,,,,,,,,,
Canada,1.810166597,1.891677995,0.929446703,0.828159179,0.985903767,0.851756047,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,0.764829098,0.898741196,0.46587063,-0.096668256,-0.274594407,-0.230373722,,,,,,,,,,,,,,,,,
Switzerland,1.154842514,-0.043738043,0.441442668,0.668242326,0.64060154,1.138337152,,,,,,,,,,,,,,,,,
Channel Islands,1.068341396,0.581523831,1.017807112,0.460634708,0.731145765,0.482972961,,,,,,,,,,,,,,,,,
Chile,2.184975809,1.627639048,1.616889104,1.445875446,1.078973466,0.841711121,,,,,,,,,,,,,,,,,
China,2.381368103,1.766391782,1.361699118,1.086509151,0.58812499,0.508136747,,,,,,,,,,,,,,,,,
